200 ['657', '295', '4172302', 'de']
200 ['656', '2425118', '4172264', 'fr']
200 ['658', '2425119', '4172302', 'fr']
200 ['659', '296', '4172353', 'de']
200 ['660', '2425120', '4172353', 'fr']
200 ['661', '297', '000417237X', 'de']
200 ['662', '2425121', '000417237X', 'fr']
200 ['663', '298', '4172396', 'de']
200 ['664', '2425122', '4172396', 'fr']
200 ['665', '299', '000417240X', 'de']
200 ['666', '2425123', '000417240X', 'fr']
200 ['667', '300', '4172426', 'de']
200 ['668', '2425124', '4172426', 'fr']
200 ['669', '301', '4172442', 'de']
200 ['670', '2425125', '4172442', 'fr']
200 ['671', '302', '4172469', 'de']
200 ['672', '2425126', '4172469', 'fr']
200 ['673', '303', '4172507', 'de']
200 ['674', '2425127', '4172507', 'fr']
200 ['675', '304', '4172515', 'de']
